GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500005,53,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,8,52,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-70,127,1,0,20251023,IND,OKC,2250000553,1880,0,1628392|1628983|1630598|1631096|1642964,0,REG,2026,1630174,0.0,SF,Wing Stopper,-1.1276029643119223,MISS Gilgeous-Alexander 15' Step Back Jump Shot,PG,Shot Creator,5.574910670840816,,53
Shot Chart Detail,22500005,74,1628983,Shai Gilgeous-Alexander,1610612760,Oklahoma City Thunder,1,6,56,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,42,102,1,1,20251023,IND,OKC,2250000574,3040,0,1628392|1628983|1630598|1631096|1642964,0,REG,2026,1630174,-2.0,SF,Wing Stopper,-1.1276029643119223,Gilgeous-Alexander 11' Driving Floating Bank Jump Shot (7 PTS),PG,Shot Creator,5.574910670840816,,74
Shot Chart Detail,22500005,138,1629652,Luguentz Dort,1610612760,Oklahoma City Thunder,1,2,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,-8,1,0,20251023,IND,OKC,22500005138,5870,0,1629652|1630598|1631119|1631172|1642349,0,REG,2026,1630174,-3.0,SF,Wing Stopper,-1.1276029643119223,MISS Dort 24' 3PT Jump Shot,SF,Stationary Shooter,-1.2826599649597707,,138
Shot Chart Detail,22500005,175,1642349,Ajay Mitchell,1610612760,Oklahoma City Thunder,2,11,0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,59,1,1,20251023,IND,OKC,22500005175,7800,0,1628392|1628983|1631172|1642349|1642959,1,REG,2026,1630174,-1.0,SF,Wing Stopper,-1.1276029643119223,Mitchell 6' Driving Floating Jump Shot (6 PTS) (Gilgeous-Alexander 1 AST),SG,Shot Creator,1.0024212095231653,1628983.0,175
Shot Chart Detail,22500005,187,1642349,Ajay Mitchell,1610612760,Oklahoma City Thunder,2,9,56,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,26,1,0,20251023,IND,OKC,22500005187,8440,0,1628392|1628983|1631172|1642349|1642959,0,REG,2026,1630174,-3.0,SF,Wing Stopper,-1.1276029643119223,Huff BLOCK (1 BLK),SG,Shot Creator,1.0024212095231653,,187
Shot Chart Detail,22500005,356,1642349,Ajay Mitchell,1610612760,Oklahoma City Thunder,2,0,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,21,1,1,20251023,IND,OKC,22500005356,14220,0,1628983|1630598|1631172|1642349|1642382,0,REG,2026,1630174,7.0,SF,Wing Stopper,-1.1276029643119223,Mitchell 3' Driving Layup (10 PTS),SG,Shot Creator,1.0024212095231653,,356
Shot Chart Detail,22500005,603,1629652,Luguentz Dort,1610612760,Oklahoma City Thunder,4,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-232,114,1,0,20251023,IND,OKC,22500005603,23350,0,1628392|1628983|1629652|1630598|1631096,0,REG,2026,1630174,2.0,SF,Wing Stopper,-1.1276029643119223,MISS Dort 26' 3PT Jump Shot,SF,Stationary Shooter,-1.2826599649597707,,603
Shot Chart Detail,22500005,644,1628392,Isaiah Hartenstein,1610612760,Oklahoma City Thunder,4,6,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,19,1,1,20251023,IND,OKC,22500005644,24910,0,1628392|1629652|1630598|1631096|1642349,1,REG,2026,1630174,-1.0,SF,Wing Stopper,-1.1276029643119223,Hartenstein 2' Alley Oop Dunk (4 PTS) (Mitchell 4 AST),C,Roll + Cut Big,0.9076626154880076,1642349.0,644
Shot Chart Detail,22500020,7,1630552,Jalen Johnson,1610612737,Atlanta Hawks,1,11,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,39,-6,1,1,20251031,IND,ATL,225000207,200,0,204001|1629638|1630552|1630700|1642258,0,REG,2026,1630174,2.0,SF,Wing Stopper,-1.1276029643119223,Johnson 4' Driving Finger Roll Layup (2 PTS),SF,Shot Creator,1.240329016938849,,7
Shot Chart Detail,22500020,29,1630552,Jalen Johnson,1610612737,Atlanta Hawks,1,9,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,3,1,1,20251031,IND,ATL,2250002029,1500,0,204001|1629638|1630552|1630700|1642258,1,REG,2026,1630174,-4.0,SF,Wing Stopper,-1.1276029643119223,Johnson 2' Cutting Layup Shot (4 PTS) (Porzingis 1 AST),SF,Shot Creator,1.240329016938849,204001.0,29
