GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22200012,21,1627750,Jamal Murray,1610612743,Denver Nuggets,1,10,26,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,107,137,1,1,20221019,UTA,DEN,2220001221,940,0,203484|203932|203999|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,31,1627750,Jamal Murray,1610612743,Denver Nuggets,1,9,23,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-39,111,1,0,20221019,UTA,DEN,2220001231,1570,0,203484|203932|203999|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,41,1627750,Jamal Murray,1610612743,Denver Nuggets,1,8,43,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,3,1,1,20221019,UTA,DEN,2220001241,1970,0,203484|203932|203999|1627750|1629008,0,REG,2023,203903,4.0,SG,Chaser,-2.41,Murray 3' Running Layup (4 PTS),PG,Shot Creator,1.93
Shot Chart Detail,22200012,62,1627750,Jamal Murray,1610612743,Denver Nuggets,1,6,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-224,90,1,0,20221019,UTA,DEN,2220001262,3030,0,203484|203932|203999|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,206,1627750,Jamal Murray,1610612743,Denver Nuggets,2,9,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,169,184,1,0,20221019,UTA,DEN,22200012206,8710,0,201145|203932|1627750|1628971|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,336,1627750,Jamal Murray,1610612743,Denver Nuggets,2,1,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,99,104,1,0,20221019,UTA,DEN,22200012336,13480,0,201599|203484|203932|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,344,1627750,Jamal Murray,1610612743,Denver Nuggets,2,0,31,Made Shot,Turnaround Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,47,1,1,20221019,UTA,DEN,22200012344,14090,0,201599|203484|203932|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,351,1627750,Jamal Murray,1610612743,Denver Nuggets,2,0,1,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,93,131,1,0,20221019,UTA,DEN,22200012351,14390,0,201599|203484|203932|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,396,1627750,Jamal Murray,1610612743,Denver Nuggets,3,9,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,38,1,0,20221019,UTA,DEN,22200012396,16080,0,203484|203932|203999|1627750|1629008,0,REG,2023,,,,,,,PG,Shot Creator,1.93
Shot Chart Detail,22200012,426,1627750,Jamal Murray,1610612743,Denver Nuggets,3,6,46,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-49,117,1,0,20221019,UTA,DEN,22200012426,17540,0,203484|203932|203999|1627750|1629008,0,REG,2023,203903,-15.0,SG,Chaser,-2.41,MISS Murray 13' Floating Jump Shot,PG,Shot Creator,1.93
