GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500025,7,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-58,257,1,0,20251031,PHX,UTA,225000257,160,0,1628374|1629004|1631117|1641718|1642271,0,REG,2026,1642346,0.0,SF,Point of Attack,0.953663782711857,MISS Markkanen 26' 3PT Jump Shot,PF,Off Screen Shooter,2.019930881250793,,7
Shot Chart Detail,22500025,32,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,10,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-116,111,1,0,20251031,PHX,UTA,2250002532,1700,0,1628374|1629004|1631117|1641718|1642271,0,REG,2026,1631109,-4.0,C,Mobile Big,1.272573698289765,MISS Markkanen 16' Fadeaway Jumper,PF,Off Screen Shooter,2.019930881250793,,32
Shot Chart Detail,22500025,41,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,172,188,1,0,20251031,PHX,UTA,2250002541,2040,0,1628374|1629004|1631117|1641718|1642271,0,REG,2026,1642346,-6.0,SF,Point of Attack,0.953663782711857,MISS Markkanen 25' 3PT Jump Shot,PF,Off Screen Shooter,2.019930881250793,,41
Shot Chart Detail,22500025,45,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,3,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,75,1,1,20251031,PHX,UTA,2250002545,2370,0,1628374|1629004|1631117|1641718|1642271,1,REG,2026,1626164,-4.0,SG,Helper,-0.4254547803570642,Markkanen 8' Cutting Layup Shot (2 PTS) (George 1 AST),PF,Off Screen Shooter,2.019930881250793,1641718.0,45
Shot Chart Detail,22500025,62,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,112,243,1,0,20251031,PHX,UTA,2250002562,3120,0,1628374|1631117|1641718|1641729|1642846,0,REG,2026,1626220,-4.0,SF,Wing Stopper,0.6361646958567827,MISS Markkanen 27' 3PT Jump Shot,PF,Off Screen Shooter,2.019930881250793,,62
Shot Chart Detail,22500025,74,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,5,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-225,137,1,1,20251031,PHX,UTA,2250002574,3740,0,1628374|1631117|1641718|1641729|1642846,1,REG,2026,1626220,-2.0,SF,Wing Stopper,0.6361646958567827,Markkanen 26' 3PT Jump Shot (5 PTS) (Bailey 1 AST),PF,Off Screen Shooter,2.019930881250793,1642846.0,74
Shot Chart Detail,22500025,361,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,62,211,1,0,20251031,PHX,UTA,22500025361,14380,0,203937|1628374|1629004|1631117|1641718,0,REG,2026,1626220|1631221,-14.0,,,,,PF,Off Screen Shooter,2.019930881250793,,361
Shot Chart Detail,22500025,392,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,26,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20251031,PHX,UTA,22500025392,15940,0,203937|1628374|1629004|1631117|1641718,1,REG,2026,1631109,-16.0,C,Mobile Big,1.272573698289765,Markkanen 1' Alley Oop Dunk (15 PTS) (George 4 AST),PF,Off Screen Shooter,2.019930881250793,1641718.0,392
Shot Chart Detail,22500025,395,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,9,1,1,20251031,PHX,UTA,22500025395,16210,0,203937|1628374|1629004|1631117|1641718,1,REG,2026,1626164,-16.0,SG,Helper,-0.4254547803570642,Markkanen 2' Cutting Layup Shot (17 PTS) (Kessler 1 AST),PF,Off Screen Shooter,2.019930881250793,1631117.0,395
Shot Chart Detail,22500025,403,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-21,261,1,0,20251031,PHX,UTA,22500025403,16430,0,203937|1628374|1629004|1631117|1641718,0,REG,2026,1626164,-16.0,SG,Helper,-0.4254547803570642,MISS Markkanen 26' 3PT Jump Shot,PF,Off Screen Shooter,2.019930881250793,,403
