GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500051,781,1642066,Myron Gardner,1610612748,Miami Heat,4,1,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,178,183,1,1,20251121,CHI,MIA,22500051781,27630,0,1641796|1642066|1642276|1642352|1642443,1.0,REG,2026,1630581,41.0,PG,Helper,-0.5506070582951242,Gardner 26' 3PT Jump Shot (3 PTS) (Johnson 1 AST),SF,Movement Shooter,0.0053217434973971,1642352.0,781
Shot Chart Detail,22500124,700,1642066,Myron Gardner,1610612748,Miami Heat,4,0,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-119,220,1,1,20251028,MIA,CHA,22500124700,28340,0,1641796|1642066|1642276|1642352|1642443,1.0,REG,2026,1642275,27.0,PF,Helper,0.8639594150752135,Gardner 25' 3PT Jump Shot (3 PTS) (Young 1 AST),SF,Movement Shooter,0.0053217434973971,1642443.0,700
Shot Chart Detail,22500381,154,1642066,Myron Gardner,1610612748,Miami Heat,1,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,195,1,0,20251219,BOS,MIA,22500381154,5970,0,1628389|1630696|1631170|1631323|1642066,0.0,REG,2026,1631169,2.0,SF,Helper,0.6656697006710964,MISS Gardner 26' 3PT Jump Shot,SF,Movement Shooter,0.0053217434973971,,154
Shot Chart Detail,22500381,204,1642066,Myron Gardner,1610612748,Miami Heat,2,10,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,189,1,1,20251219,BOS,MIA,22500381204,8050,0,1628389|1630696|1631170|1631323|1642066,1.0,REG,2026,1630573,-2.0,PF,Helper,0.5341387005396393,Gardner 25' 3PT Jump Shot (3 PTS) (Adebayo 2 AST),SF,Movement Shooter,0.0053217434973971,1628389.0,204
Shot Chart Detail,22500381,253,1642066,Myron Gardner,1610612748,Miami Heat,2,7,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,13,1,1,20251219,BOS,MIA,22500381253,10050,0,1628389|1631170|1631323|1642066|1642857,1.0,REG,2026,1641775,3.0,PF,Point of Attack,1.2118758143924409,Gardner 3' Running Layup (5 PTS) (Jaquez Jr. 2 AST),SF,Movement Shooter,0.0053217434973971,1631170.0,253
Shot Chart Detail,22500381,681,1642066,Myron Gardner,1610612748,Miami Heat,4,0,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,46,1,0,20251219,BOS,MIA,22500381681,28340,0,1631323|1642066|1642352|1642857|1642884,0.0,REG,2026,1642864,-19.0,SF,Wing Stopper,1.9235500626355484,MISS Gardner 3PT Jump Shot,SF,Movement Shooter,0.0053217434973971,,681
Shot Chart Detail,22500436,723,1642066,Myron Gardner,1610612748,Miami Heat,4,1,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-1,1,0,20251227,MIA,IND,22500436723,28070,0,1631107|1631323|1642066|1642352|1642857,0.0,REG,2026,1631245,24.0,PG,Point of Attack,-0.280806661567095,MISS Gardner 24' 3PT Jump Shot,SF,Movement Shooter,0.0053217434973971,,723
Shot Chart Detail,22500450,638,1642066,Myron Gardner,1610612748,Miami Heat,4,2,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-9,64,1,0,20251229,MIA,DEN,22500450638,27510,0,1631107|1631323|1642066|1642352|1642857,0.0,REG,2026,1629618,23.0,SG,Chaser,-0.7509318378639398,MISS Gardner 6' Driving Floating Jump Shot,SF,Movement Shooter,0.0053217434973971,,638
Shot Chart Detail,22500450,640,1642066,Myron Gardner,1610612748,Miami Heat,4,2,5,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,8,1,0,20251229,MIA,DEN,22500450640,27550,0,1631107|1631323|1642066|1642352|1642857,0.0,REG,2026,1641747,23.0,PF,Mobile Big,-0.0160732705922784,MISS Gardner 1' Putback Layup,SF,Movement Shooter,0.0053217434973971,,640
Shot Chart Detail,22500450,650,1642066,Myron Gardner,1610612748,Miami Heat,4,1,20,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,9,1,0,20251229,MIA,DEN,22500450650,28000,0,1631107|1631323|1642066|1642352|1642857,0.0,REG,2026,1642938|1641816|1629618,21.0,,,,,SF,Movement Shooter,0.0053217434973971,,650
