GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500012,250,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,2,3,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,205,155,1,0,20251225,LAL,HOU,22500012250,12060,0,201142|203500|1627827|1631106|1641708,0,REG,2026,1629020,4.0,PF,Wing Stopper,1.125919281727786,MISS Finney-Smith 26' 3PT Jump Shot,PF,Stationary Shooter,-2.033380847796777,,250
Shot Chart Detail,22500438,301,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,2,1,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,140,1,1,20251227,HOU,CLE,22500438301,13350,0,201142|203500|1627827|1641708|1642263,1,REG,2026,1628378,11.0,SG,Chaser,-0.5400029246431838,Finney-Smith 25' 3PT Jump Shot (3 PTS) (Durant 5 AST),PF,Stationary Shooter,-2.033380847796777,201142.0,301
Shot Chart Detail,22500438,320,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,2,0,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-88,129,1,0,20251227,HOU,CLE,22500438320,14320,0,201142|1627827|1631095|1631106|1641708,0,REG,2026,1629631|1630596,14.0,,,,,PF,Stationary Shooter,-2.033380847796777,,320
Shot Chart Detail,22500438,322,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,2,0,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,208,1,0,20251227,HOU,CLE,22500438322,14400,0,201142|1627827|1631095|1631106|1641708,0,REG,2026,1630596,14.0,PF,Mobile Big,1.2859026678911676,MISS Finney-Smith 25' 3PT Step Back Jump Shot,PF,Stationary Shooter,-2.033380847796777,,322
Shot Chart Detail,22500438,448,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,3,3,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-29,258,1,0,20251227,HOU,CLE,22500438448,19440,0,201142|203991|1627827|1631095|1642263,0,REG,2026,1629631,27.0,SF,Helper,-0.4550656096151907,MISS Finney-Smith 26' 3PT Jump Shot,PF,Stationary Shooter,-2.033380847796777,,448
Shot Chart Detail,22500453,185,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,2,9,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-48,250,1,1,20251229,HOU,IND,22500453185,8650,0,203991|1627827|1631095|1641708|1642263,1,REG,2026,204456,6.0,PG,Chaser,0.660831128514769,Finney-Smith 25' 3PT Jump Shot (3 PTS) (Thompson 2 AST),PF,Stationary Shooter,-2.033380847796777,1641708.0,185
Shot Chart Detail,22500453,470,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,3,2,23,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,246,29,1,0,20251229,HOU,IND,22500453470,20170,0,201142|203991|1627827|1641708|1642263,0,REG,2026,1627783,18.0,PF,Wing Stopper,-0.6826925951559814,MISS Finney-Smith 25' 3PT Running Jump Shot,PF,Stationary Shooter,-2.033380847796777,,470
Shot Chart Detail,22500453,506,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,3,0,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,108,268,1,1,20251229,HOU,IND,22500453506,21590,0,201142|1627827|1631095|1641708|1642263,1,REG,2026,1630643,27.0,C,Mobile Big,1.8191765133996245,Finney-Smith 29' 3PT Step Back Jump Shot (6 PTS) (Durant 5 AST),PF,Stationary Shooter,-2.033380847796777,201142.0,506
Shot Chart Detail,22500471,160,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,1,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20260101,BKN,HOU,22500471160,7200,0,1627827|1628988|1629006|1630578|1642263,0,REG,2026,1630549,6.0,C,Mobile Big,1.8014498084489217,MISS Finney-Smith Tip Layup Shot,PF,Stationary Shooter,-2.033380847796777,,160
Shot Chart Detail,22500471,523,1627827,Dorian Finney-Smith,1610612745,Houston Rockets,4,8,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-25,1,0,20260101,BKN,HOU,22500471523,23440,0,201142|1627827|1629006|1631095|1642263,0,REG,2026,,,,,,,PF,Stationary Shooter,-2.033380847796777,,523
