GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22500034,459,1630619,Moussa Cisse,1610612742,Dallas Mavericks,3,5,33,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20251107,MEM,DAL,22500034459,18270,0,202691|1630230|1630314|1630619|1630702,1,REG,2026,,,,,,C,NA_INDEX,
Shot Chart Detail,22500034,496,1630619,Moussa Cisse,1610612742,Dallas Mavericks,3,2,7,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20251107,MEM,DAL,22500034496,20330,0,202691|1630230|1630619|1630702|1642948,1,REG,2026,1628991,C,NA_INDEX,,Cisse 1' Running Alley Oop Dunk Shot (5 PTS) (Thompson 2 AST),C,NA_INDEX,
Shot Chart Detail,22500034,556,1630619,Moussa Cisse,1610612742,Dallas Mavericks,4,10,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,3,1,1,20251107,MEM,DAL,22500034556,22420,0,202691|1630619|1630702|1631108|1642948,1,REG,2026,1629630,PG,NA_INDEX,,Cisse 1' Dunk (7 PTS) (Hardy 2 AST),C,NA_INDEX,
Shot Chart Detail,22500034,646,1630619,Moussa Cisse,1610612742,Dallas Mavericks,4,4,54,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,3,1,1,20251107,MEM,DAL,22500034646,25860,0,1630230|1630314|1630619|1630702|1642843,0,REG,2026,,,,,,C,NA_INDEX,
Shot Chart Detail,22500034,649,1630619,Moussa Cisse,1610612742,Dallas Mavericks,4,4,29,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,9,1,0,20251107,MEM,DAL,22500034649,26110,0,1630230|1630314|1630619|1630702|1642843,0,REG,2026,1629111,C,NA_INDEX,,MISS Cisse 2' Alley Oop Dunk,C,NA_INDEX,
Shot Chart Detail,22500160,171,1630619,Moussa Cisse,1610612742,Dallas Mavericks,1,0,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20251103,HOU,DAL,22500160171,6910,0,1628997|1629023|1630230|1630619|1631108,0,REG,2026,1630578|1642263,,,,,C,NA_INDEX,
Shot Chart Detail,22500160,254,1630619,Moussa Cisse,1610612742,Dallas Mavericks,2,9,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,24,1,0,20251103,HOU,DAL,22500160254,8820,0,202691|1626156|1628997|1629023|1630619,0,REG,2026,203991|1629006,,,,,C,NA_INDEX,
Shot Chart Detail,22500160,286,1630619,Moussa Cisse,1610612742,Dallas Mavericks,2,7,9,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20251103,HOU,DAL,22500160286,10110,0,1626156|1629023|1630619|1631108|1642843,1,REG,2026,1642263,PG,NA_INDEX,,Cisse 1' Running Alley Oop Dunk Shot (2 PTS) (Russell 4 AST),C,NA_INDEX,
Shot Chart Detail,22500160,308,1630619,Moussa Cisse,1610612742,Dallas Mavericks,2,5,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20251103,HOU,DAL,22500160308,11290,0,1626156|1630230|1630619|1631108|1642843,0,REG,2026,201142|1631106,,,,,C,NA_INDEX,
Shot Chart Detail,22500183,464,1630619,Moussa Cisse,1610612742,Dallas Mavericks,3,5,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,5,1,1,20251108,WAS,DAL,22500183464,18180,0,1630230|1630314|1630619|1630702|1642843,0,REG,2026,1642259,C,NA_INDEX,,Cisse 1' Driving Dunk (3 PTS) (Williams 4 AST),C,NA_INDEX,
Shot Chart Detail,22500183,503,1630619,Moussa Cisse,1610612742,Dallas Mavericks,3,2,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,27,1,1,20251108,WAS,DAL,22500183503,20090,0,1629023|1630230|1630619|1630702|1642948,0,REG,2026,1631103,,,,Cisse 3' Dunk (5 PTS) (Washington 4 AST),C,NA_INDEX,
Shot Chart Detail,22500183,624,1630619,Moussa Cisse,1610612742,Dallas Mavericks,4,6,9,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,8,1,0,20251108,WAS,DAL,22500183624,25110,0,1629023|1630314|1630619|1631108|1642843,0,REG,2026,1642259|1630557,,,,,C,NA_INDEX,
